x,u
    0.000000,    0.000000
    0.010000,    0.000013
    0.020000,    0.000025
    0.030000,    0.000038
    0.040000,    0.000050
    0.050000,    0.000062
    0.060000,    0.000075
    0.070000,    0.000087
    0.080000,    0.000100
    0.090000,    0.000112
    0.100000,    0.000125
    0.110000,    0.000137
    0.120000,    0.000149
    0.130000,    0.000161
    0.140000,    0.000174
    0.150000,    0.000186
    0.160000,    0.000198
    0.170000,    0.000210
    0.180000,    0.000222
    0.190000,    0.000234
    0.200000,    0.000246
    0.210000,    0.000258
    0.220000,    0.000270
    0.230000,    0.000281
    0.240000,    0.000293
    0.250000,    0.000305
    0.260000,    0.000316
    0.270000,    0.000328
    0.280000,    0.000339
    0.290000,    0.000350
    0.300000,    0.000361
    0.310000,    0.000373
    0.320000,    0.000384
    0.330000,    0.000394
    0.340000,    0.000405
    0.350000,    0.000416
    0.360000,    0.000426
    0.370000,    0.000437
    0.380000,    0.000447
    0.390000,    0.000458
    0.400000,    0.000468
    0.410000,    0.000478
    0.420000,    0.000488
    0.430000,    0.000498
    0.440000,    0.000507
    0.450000,    0.000517
    0.460000,    0.000526
    0.470000,    0.000535
    0.480000,    0.000545
    0.490000,    0.000554
    0.500000,    0.000563
    0.510000,    0.000571
    0.520000,    0.000580
    0.530000,    0.000588
    0.540000,    0.000597
    0.550000,    0.000605
    0.560000,    0.000613
    0.570000,    0.000621
    0.580000,    0.000628
    0.590000,    0.000636
    0.600000,    0.000643
    0.610000,    0.000651
    0.620000,    0.000658
    0.630000,    0.000664
    0.640000,    0.000671
    0.650000,    0.000678
    0.660000,    0.000684
    0.670000,    0.000690
    0.680000,    0.000696
    0.690000,    0.000702
    0.700000,    0.000708
    0.710000,    0.000714
    0.720000,    0.000719
    0.730000,    0.000724
    0.740000,    0.000729
    0.750000,    0.000734
    0.760000,    0.000739
    0.770000,    0.000743
    0.780000,    0.000747
    0.790000,    0.000751
    0.800000,    0.000755
    0.810000,    0.000759
    0.820000,    0.000762
    0.830000,    0.000766
    0.840000,    0.000769
    0.850000,    0.000772
    0.860000,    0.000774
    0.870000,    0.000777
    0.880000,    0.000779
    0.890000,    0.000782
    0.900000,    0.000784
    0.910000,    0.000785
    0.920000,    0.000787
    0.930000,    0.000788
    0.940000,    0.000789
    0.950000,    0.000790
    0.960000,    0.000791
    0.970000,    0.000792
    0.980000,    0.000792
    0.990000,    0.000792
    1.000000,    0.000792
    1.010000,    0.000792
    1.020000,    0.000792
    1.030000,    0.000791
    1.040000,    0.000791
    1.050000,    0.000790
    1.060000,    0.000788
    1.070000,    0.000787
    1.080000,    0.000785
    1.090000,    0.000784
    1.100000,    0.000782
    1.110000,    0.000779
    1.120000,    0.000777
    1.130000,    0.000775
    1.140000,    0.000772
    1.150000,    0.000769
    1.160000,    0.000766
    1.170000,    0.000762
    1.180000,    0.000759
    1.190000,    0.000755
    1.200000,    0.000751
    1.210000,    0.000747
    1.220000,    0.000743
    1.230000,    0.000739
    1.240000,    0.000734
    1.250000,    0.000729
    1.260000,    0.000724
    1.270000,    0.000719
    1.280000,    0.000714
    1.290000,    0.000708
    1.300000,    0.000702
    1.310000,    0.000697
    1.320000,    0.000690
    1.330000,    0.000684
    1.340000,    0.000678
    1.350000,    0.000671
    1.360000,    0.000665
    1.370000,    0.000658
    1.380000,    0.000651
    1.390000,    0.000643
    1.400000,    0.000636
    1.410000,    0.000628
    1.420000,    0.000621
    1.430000,    0.000613
    1.440000,    0.000605
    1.450000,    0.000597
    1.460000,    0.000588
    1.470000,    0.000580
    1.480000,    0.000571
    1.490000,    0.000563
    1.500000,    0.000554
    1.510000,    0.000545
    1.520000,    0.000536
    1.530000,    0.000526
    1.540000,    0.000517
    1.550000,    0.000507
    1.560000,    0.000498
    1.570000,    0.000488
    1.580000,    0.000478
    1.590000,    0.000468
    1.600000,    0.000458
    1.610000,    0.000447
    1.620000,    0.000437
    1.630000,    0.000427
    1.640000,    0.000416
    1.650000,    0.000405
    1.660000,    0.000394
    1.670000,    0.000384
    1.680000,    0.000373
    1.690000,    0.000361
    1.700000,    0.000350
    1.710000,    0.000339
    1.720000,    0.000328
    1.730000,    0.000316
    1.740000,    0.000305
    1.750000,    0.000293
    1.760000,    0.000281
    1.770000,    0.000270
    1.780000,    0.000258
    1.790000,    0.000246
    1.800000,    0.000234
    1.810000,    0.000222
    1.820000,    0.000210
    1.830000,    0.000198
    1.840000,    0.000186
    1.850000,    0.000174
    1.860000,    0.000162
    1.870000,    0.000149
    1.880000,    0.000137
    1.890000,    0.000125
    1.900000,    0.000112
    1.910000,    0.000100
    1.920000,    0.000087
    1.930000,    0.000075
    1.940000,    0.000062
    1.950000,    0.000050
    1.960000,    0.000038
    1.970000,    0.000025
    1.980000,    0.000013
    1.990000,    0.000000
